Dataset,Regressor_Name,CV_R2_mean
734012530000022713,StandardScaler_LR,0.932821292750225
734012530000022713,MinMaxScaler_LR,0.932821292750225
734012530000022713,MaxAbsScaler_LR,0.932821292750225
734012530000022713,RobustScaler_LR,0.932821292750225
734012530000022713,QuantileTransformer-Normal_LR,0.5865838933152695
734012530000022713,QuantileTransformer-Uniform_LR,0.6535546890932781
734012530000022713,PowerTransformer-Yeo-Johnson_LR,0.7376598560790218
734012530000022713,Normalizer_LR,0.93142657522875
,,
734012530000022713,StandardScaler_RFR,0.9582751455771538
734012530000022713,MinMaxScaler_RFR,0.958277275608366
734012530000022713,MaxAbsScaler_RFR,0.958316766016225
734012530000022713,RobustScaler_RFR,0.9583148055045017
734012530000022713,QuantileTransformer-Normal_RFR,0.9582980354804868
734012530000022713,QuantileTransformer-Uniform_RFR,0.9582830633278533
734012530000022713,PowerTransformer-Yeo-Johnson_RFR,0.9559662652055095
734012530000022713,Normalizer_RFR,-0.0007321488110069829
